time_s,H2,H,O,O2,OH,H2O,HO2,H2O2,AR,N2
1e-06,0.19011406842755144,1.2756861047071933e-11,3.109003986829157e-13,0.0950570342064036,1.9262107833252124e-13,2.239862260801339e-13,1.380998727544692e-11,1.0106269872515447e-15,0.0,0.7148288973387495
2e-06,0.1901140684131253,2.4970362055181585e-11,1.0577612389895799e-12,0.09505703419072992,5.185309058602051e-13,1.279360485098215e-12,2.855141444945661e-11,4.1329745778408646e-15,0.0,0.7148288973397632
3e-06,0.190114068397374,3.708677662394324e-11,2.0605859613863405e-12,0.09505703417354724,8.92647720618172e-13,3.3985769697648734e-12,4.420224978484995e-11,9.503404345975951e-15,0.0,0.7148288973414285
4e-06,0.19011406838008804,4.9313234715927995e-11,3.2228763678408996e-12,0.09505703415485321,1.2984390271506121e-12,6.69693303144702e-12,6.07636329010455e-11,1.7256080068652854e-14,0.0,0.7148288973437464
4.9999999999999996e-06,0.1901140683611288,6.17681718923034e-11,4.4904056357682004e-12,0.09505703413462636,1.7271894026041313e-12,1.1256555652975802e-11,7.824896593915977e-11,2.7526312404938356e-14,0.0,0.714828897346726
5.999999999999999e-06,0.1901140683403873,7.452989959910314e-11,5.8338474905207424e-12,0.0950570341128342,2.174729031479108e-12,1.7140760225455373e-11,9.66769455081509e-11,4.045170793874309e-14,0.0,0.7148288973503819
6.999999999999999e-06,0.1901140683177795,8.764321897870768e-11,7.240293571638315e-12,0.09505703408943493,2.639399999389456e-12,2.440200068815591e-11,1.1607273859308736e-10,5.617320221117513e-14,0.0,0.7148288973547319
8e-06,0.19011406829323707,1.0113310824481355e-10,8.702481897325514e-12,0.09505703406438278,3.120263581669703e-12,3.308993017333554e-11,1.3646390710755543e-10,7.483566892799403e-14,0.0,0.7148288973597955
9e-06,0.19011406826669444,1.1501986092883199e-10,1.0216240911113916e-11,0.09505703403762958,3.6168576053828005e-12,4.325282522015023e-11,1.5787959494820656e-10,9.658817638259398e-14,0.0,0.7148288973655941
1e-05,0.190114068238084,1.2932347107377406e-10,1.1779618921186223e-11,0.0950570340091248,4.129123673758619e-12,5.493842562632393e-11,1.8035017437174178e-10,1.2158422626218718e-13,0.0,0.7148288973721487
